UserName,Email,Address,Password
User A,invalid email,1 Example St,password1
User B,user1@example.com,2 Example St,password2
User C,user2@example.com,3 Example St,password3
User D,user3@example.com,4 Example St,password4
User E,user4@example.com,5 Example St,password5
User F,invalid email,6 Example St,password6
User G,user6@example.com,7 Example St,password7
User H,user7@example.com,8 Example St,password8
User I,user8@example.com,9 Example St,password9
User J,user9@example.com,10 Example St,password10
